update,steps,avg_return,win_rate,value_loss,entropy
100,104448,-0.18148145079612732,0.7857142857142857,0.010684413835406303,3.584535598754883
101,106496,-0.18224340677261353,0.7928571428571429,0.013035882264375687,3.594545841217041
102,108544,-0.16870765388011932,0.8202380952380953,0.01283850148320198,3.6194229125976562
103,110592,-0.17464283108711243,0.8318452380952381,0.01017051376402378,3.644056797027588
104,112640,-0.1838170439004898,0.8369047619047618,0.013408013619482517,3.6444790363311768
105,114688,-0.17941467463970184,0.8666666666666667,0.011892289854586124,3.6468687057495117
106,116736,-0.1793230175971985,0.8395833333333333,0.009815898723900318,3.6523633003234863
107,118784,-0.18506363034248352,0.8652777777777777,0.11727609485387802,3.6452231407165527
108,120832,-0.19923272728919983,0.8364583333333333,0.012682725675404072,3.715503692626953
109,122880,-0.1843094527721405,0.8558333333333333,0.014673004858195782,3.687626361846924
110,124928,-0.17601090669631958,0.9285714285714286,0.010606114752590656,3.6648616790771484
111,126976,-0.18123304843902588,0.848901098901099,0.010870981961488724,3.667816162109375
112,129024,-0.18490073084831238,0.8736263736263736,0.011664243414998055,3.6634767055511475
113,131072,-0.1605888158082962,0.9052197802197802,0.009645157493650913,3.698805809020996
114,133120,-0.16324709355831146,0.9098901098901099,0.013669552281498909,3.682981491088867
115,135168,-0.18325090408325195,0.7857142857142857,0.008153988048434258,3.659329652786255
116,137216,-0.1884932518005371,0.8159340659340659,0.009542996995151043,3.6992545127868652
117,139264,-0.1992505043745041,0.8328449328449329,0.11106174439191818,3.6811516284942627
118,141312,-0.19823049008846283,0.8389194139194139,0.012169529683887959,3.6774725914001465
119,143360,-0.17423906922340393,0.8311355311355312,0.010950002819299698,3.706735134124756
120,145408,-0.17571339011192322,0.8666666666666667,0.011370941996574402,3.6702280044555664
